"jobID","jobName","startTime","startIt","endIt"
"47106691","mosaic90mTiles","Wed 14 Oct 2020 01:44:00 PM AEDT","1","2172"
"47099846","mosaic90mTiles","Wed 14 Oct 2020 01:51:19 PM AEDT","1","1"
"47100141","mosaic90mTiles","Wed 14 Oct 2020 02:01:42 PM AEDT","1","1"
"47108136","mosaic90mTiles","Wed 14 Oct 2020 02:05:44 PM AEDT","1","12"
