"SiteID","Easting","Northing","Depth","Stratify","Transect","Clay","pH","AACN","Elevation","Hillshading","Landsat_Band1","Light_insolation","Mid_Slope_Positon","MRVBF","NDVI","Slope","Terrain_Ruggedness_Index","TWI"
"h001",151.3081985,-32.812533,0.09,2,5,10,5.9,13.7313194274902,104.438125610352,3.81757545471191,60.0864868164062,1657.31811523438,0.534931242465973,1.65699338912964,-0.19137142598629,3.43811941146851,3.77364659309387,14.7838487625122
"h001",151.3081985,-32.812533,0.23,2,5,15,6.2,13.7313194274902,104.438125610352,3.81757545471191,60.0864868164062,1657.31811523438,0.534931242465973,1.65699338912964,-0.19137142598629,3.43811941146851,3.77364659309387,14.7838487625122
"h001",151.3081985,-32.812533,0.35,2,5,15,6.3,13.7313194274902,104.438125610352,3.81757545471191,60.0864868164062,1657.31811523438,0.534931242465973,1.65699338912964,-0.19137142598629,3.43811941146851,3.77364659309387,14.7838487625122
"h001",151.3081985,-32.812533,0.59,2,5,49,6.7,13.7313194274902,104.438125610352,3.81757545471191,60.0864868164062,1657.31811523438,0.534931242465973,1.65699338912964,-0.19137142598629,3.43811941146851,3.77364659309387,14.7838487625122
"h001",151.3081985,-32.812533,0.88,2,5,49,NA,13.7313194274902,104.438125610352,3.81757545471191,60.0864868164062,1657.31811523438,0.534931242465973,1.65699338912964,-0.19137142598629,3.43811941146851,3.77364659309387,14.7838487625122
"h002",151.318098,-32.81542623,0.09,2,5,34,5.9,25.3148918151855,109.452529907227,2.1236207485199,54.0575256347656,1731.35900878906,0.0899698361754417,1.92253589630127,-0.208388522267342,2.50592613220215,2.87335824966431,12.5504598617554
"h002",151.318098,-32.81542623,0.26,2,5,34,5.79,25.3148918151855,109.452529907227,2.1236207485199,54.0575256347656,1731.35900878906,0.0899698361754417,1.92253589630127,-0.208388522267342,2.50592613220215,2.87335824966431,12.5504598617554
"h002",151.318098,-32.81542623,0.64,2,5,57,5.52,25.3148918151855,109.452529907227,2.1236207485199,54.0575256347656,1731.35900878906,0.0899698361754417,1.92253589630127,-0.208388522267342,2.50592613220215,2.87335824966431,12.5504598617554
"h002",151.318098,-32.81542623,0.97,2,5,49,5.46,25.3148918151855,109.452529907227,2.1236207485199,54.0575256347656,1731.35900878906,0.0899698361754417,1.92253589630127,-0.208388522267342,2.50592613220215,2.87335824966431,12.5504598617554
"h003",151.2962733,-32.82347362,0.08,2,5,34,6.46,51.3315391540527,162.846649169922,16.719051361084,45.2577209472656,1549.13781738281,0.237756475806236,0.0247389730066061,-0.325672566890717,11.7948560714722,7.43469476699829,9.1187915802002
"h003",151.2962733,-32.82347362,0.28,2,5,34,6.86,51.3315391540527,162.846649169922,16.719051361084,45.2577209472656,1549.13781738281,0.237756475806236,0.0247389730066061,-0.325672566890717,11.7948560714722,7.43469476699829,9.1187915802002
"h003",151.2962733,-32.82347362,0.6,2,5,49,6.45,51.3315391540527,162.846649169922,16.719051361084,45.2577209472656,1549.13781738281,0.237756475806236,0.0247389730066061,-0.325672566890717,11.7948560714722,7.43469476699829,9.1187915802002
"h003",151.2962733,-32.82347362,0.95,2,5,45,5.68,51.3315391540527,162.846649169922,16.719051361084,45.2577209472656,1549.13781738281,0.237756475806236,0.0247389730066061,-0.325672566890717,11.7948560714722,7.43469476699829,9.1187915802002
