"SiteID","Easting","Northing","Depth","Stratify","Transect","RockFrag","pH_H2O","EC","OC","P_Olsen","PBI","Exch_Ca","Exch_Mg","Exch_K","Exch_Na","Exch_Acid","Exch_Sum","ECEC","BaseSat","ESP","Ca_Mg","ECEC_Clay","Sand","Silt","Clay","Aspect","Convergence_030","Convergence_060","Convergence_120","Convergence_240","Convergence_480","Convergence_960","Curvature_CrossSectional","Curvature_General","Curvature_Longitudinal","DEM_SRTM_Mask_filled_SAGA","MRRTF_08","MRRTF_16","MRVBF_04","MRVBF_08","MRVBF_16","MRVBF_32","PhysiographicRegions_Mask","Slope","SlopeLength","Terrain_MidSlopePosition","Terrain_NormalisedHeight","Terrain_SlopeHeight","Terrain_StandardisedHeight","Terrain_ValleyDepth","TPI_00060_30","TPI_00090_30","TPI_00120_30","TPI_00150_30","TPI_00180_30","TPI_00210_30","TPI_00240_30","TPI_00270_30","TPI_00300_30","TPI_00480_30","TPI_00600_30","TPI_00900_30","TPI_00960_30","TPI_01200_30","TPI_01500_30","TPI_01920_30","TPI_03000_30","TPI_03840_30","TPI_06000_30","TPI_07680_30","TPI_09000_30","TRI","TWI_SAGA_05","TWI_SAGA_10"
1000,819755,2281364,5,4,1000,0,7.85,0.224,1.85,52.3,93,9.48,3.82,2.05,0.16,0,15.51,15.51,100,1.06,2.5,0.8,47.2,33.4,19.4,56.4586296081543,4.38665056228638,2.60016417503357,2.09637308120728,-16.6967105865479,-7.58664417266846,-14.0324354171753,0.000165038596605882,0.000170321989571676,5.28340251548798e-06,189.924850463867,1,1,1,3,6,6,4,1.20671713352203,42.4264068603516,0.110490024089813,0.444754987955093,8.67142009735107,166.91584777832,10.8256521224976,0.0238049831241369,0.0336990356445312,0.0308818817138672,0.00886408518999815,-0.039534829556942,-0.0986187011003494,-0.275430232286453,-0.375461041927338,-0.515018701553345,-0.472845613956451,-0.673022747039795,-1.62684082984924,-1.68713307380676,-2.92435956001282,-4.79909658432007,-6.27853536605835,-6.39554452896118,-5.70658540725708,-3.92285919189453,-4.02417421340942,-5.25618648529053,0.257415354251862,20.2175693511963,20.0631809234619
1000,819755,2281364,15,4,1000,0,8.28,0.226,1.4,NA,76,12.1,NA,NA,NA,NA,21.6,21.81,100,3.75,4.5,0.85,39,34.3,26.7,56.4586296081543,4.38665056228638,2.60016417503357,2.09637308120728,-16.6967105865479,-7.58664417266846,-14.0324354171753,0.000165038596605882,0.000170321989571676,5.28340251548798e-06,189.924850463867,1,1,1,3,6,6,4,1.20671713352203,42.4264068603516,0.110490024089813,0.444754987955093,8.67142009735107,166.91584777832,10.8256521224976,0.0238049831241369,0.0336990356445312,0.0308818817138672,0.00886408518999815,-0.039534829556942,-0.0986187011003494,-0.275430232286453,-0.375461041927338,-0.515018701553345,-0.472845613956451,-0.673022747039795,-1.62684082984924,-1.68713307380676,-2.92435956001282,-4.79909658432007,-6.27853536605835,-6.39554452896118,-5.70658540725708,-3.92285919189453,-4.02417421340942,-5.25618648529053,0.257415354251862,20.2175693511963,20.0631809234619
1000,819755,2281364,25,4,1000,0,8.29,0.277,1.28,NA,66,12.57,NA,NA,NA,NA,20.1,20.36,100,4.64,4.7,0.82,41.3,36.3,22.4,56.4586296081543,4.38665056228638,2.60016417503357,2.09637308120728,-16.6967105865479,-7.58664417266846,-14.0324354171753,0.000165038596605882,0.000170321989571676,5.28340251548798e-06,189.924850463867,1,1,1,3,6,6,4,1.20671713352203,42.4264068603516,0.110490024089813,0.444754987955093,8.67142009735107,166.91584777832,10.8256521224976,0.0238049831241369,0.0336990356445312,0.0308818817138672,0.00886408518999815,-0.039534829556942,-0.0986187011003494,-0.275430232286453,-0.375461041927338,-0.515018701553345,-0.472845613956451,-0.673022747039795,-1.62684082984924,-1.68713307380676,-2.92435956001282,-4.79909658432007,-6.27853536605835,-6.39554452896118,-5.70658540725708,-3.92285919189453,-4.02417421340942,-5.25618648529053,0.257415354251862,20.2175693511963,20.0631809234619
1000,819755,2281364,40,4,1000,0,8.34,0.255,1.09,NA,73,11.55,NA,NA,NA,NA,20.56,20.83,100,4.71,3.6,0.73,39.5,34.9,25.6,56.4586296081543,4.38665056228638,2.60016417503357,2.09637308120728,-16.6967105865479,-7.58664417266846,-14.0324354171753,0.000165038596605882,0.000170321989571676,5.28340251548798e-06,189.924850463867,1,1,1,3,6,6,4,1.20671713352203,42.4264068603516,0.110490024089813,0.444754987955093,8.67142009735107,166.91584777832,10.8256521224976,0.0238049831241369,0.0336990356445312,0.0308818817138672,0.00886408518999815,-0.039534829556942,-0.0986187011003494,-0.275430232286453,-0.375461041927338,-0.515018701553345,-0.472845613956451,-0.673022747039795,-1.62684082984924,-1.68713307380676,-2.92435956001282,-4.79909658432007,-6.27853536605835,-6.39554452896118,-5.70658540725708,-3.92285919189453,-4.02417421340942,-5.25618648529053,0.257415354251862,20.2175693511963,20.0631809234619
1000,819755,2281364,60,4,1000,0,8.24,0.27,1.09,NA,77,11.37,NA,NA,NA,NA,21.79,21.98,100,4.07,5.5,0.74,28.7,34.1,37.2,56.4586296081543,4.38665056228638,2.60016417503357,2.09637308120728,-16.6967105865479,-7.58664417266846,-14.0324354171753,0.000165038596605882,0.000170321989571676,5.28340251548798e-06,189.924850463867,1,1,1,3,6,6,4,1.20671713352203,42.4264068603516,0.110490024089813,0.444754987955093,8.67142009735107,166.91584777832,10.8256521224976,0.0238049831241369,0.0336990356445312,0.0308818817138672,0.00886408518999815,-0.039534829556942,-0.0986187011003494,-0.275430232286453,-0.375461041927338,-0.515018701553345,-0.472845613956451,-0.673022747039795,-1.62684082984924,-1.68713307380676,-2.92435956001282,-4.79909658432007,-6.27853536605835,-6.39554452896118,-5.70658540725708,-3.92285919189453,-4.02417421340942,-5.25618648529053,0.257415354251862,20.2175693511963,20.0631809234619
1000,819755,2281364,85,4,1000,0,8.57,0.24,0.31,NA,72,6.48,NA,NA,NA,NA,15.61,16.07,100,6.21,3.2,0.99,53.9,26.1,19.9,56.4586296081543,4.38665056228638,2.60016417503357,2.09637308120728,-16.6967105865479,-7.58664417266846,-14.0324354171753,0.000165038596605882,0.000170321989571676,5.28340251548798e-06,189.924850463867,1,1,1,3,6,6,4,1.20671713352203,42.4264068603516,0.110490024089813,0.444754987955093,8.67142009735107,166.91584777832,10.8256521224976,0.0238049831241369,0.0336990356445312,0.0308818817138672,0.00886408518999815,-0.039534829556942,-0.0986187011003494,-0.275430232286453,-0.375461041927338,-0.515018701553345,-0.472845613956451,-0.673022747039795,-1.62684082984924,-1.68713307380676,-2.92435956001282,-4.79909658432007,-6.27853536605835,-6.39554452896118,-5.70658540725708,-3.92285919189453,-4.02417421340942,-5.25618648529053,0.257415354251862,20.2175693511963,20.0631809234619
1001,819750,2281364,5,4,1000,0,8.11,0.16,1.17,NA,90,13.78,NA,NA,NA,NA,23.67,23.64,100,2.01,3.4,1.2,28.3,39.7,32.1,56.4586296081543,4.38665056228638,2.60016417503357,2.09637308120728,-16.6967105865479,-7.58664417266846,-14.0324354171753,0.000165038596605882,0.000170321989571676,5.28340251548798e-06,189.924850463867,1,1,1,3,6,6,4,1.20671713352203,42.4264068603516,0.110490024089813,0.444754987955093,8.67142009735107,166.91584777832,10.8256521224976,0.0238049831241369,0.0336990356445312,0.0308818817138672,0.00886408518999815,-0.039534829556942,-0.0986187011003494,-0.275430232286453,-0.375461041927338,-0.515018701553345,-0.472845613956451,-0.673022747039795,-1.62684082984924,-1.68713307380676,-2.92435956001282,-4.79909658432007,-6.27853536605835,-6.39554452896118,-5.70658540725708,-3.92285919189453,-4.02417421340942,-5.25618648529053,0.257415354251862,20.2175693511963,20.0631809234619
1001,819750,2281364,15,4,1000,0,8.06,0.188,1.23,NA,84,14.7,NA,NA,NA,NA,24.36,24.17,100,1.97,3.6,1.11,28.8,41.5,29.8,56.4586296081543,4.38665056228638,2.60016417503357,2.09637308120728,-16.6967105865479,-7.58664417266846,-14.0324354171753,0.000165038596605882,0.000170321989571676,5.28340251548798e-06,189.924850463867,1,1,1,3,6,6,4,1.20671713352203,42.4264068603516,0.110490024089813,0.444754987955093,8.67142009735107,166.91584777832,10.8256521224976,0.0238049831241369,0.0336990356445312,0.0308818817138672,0.00886408518999815,-0.039534829556942,-0.0986187011003494,-0.275430232286453,-0.375461041927338,-0.515018701553345,-0.472845613956451,-0.673022747039795,-1.62684082984924,-1.68713307380676,-2.92435956001282,-4.79909658432007,-6.27853536605835,-6.39554452896118,-5.70658540725708,-3.92285919189453,-4.02417421340942,-5.25618648529053,0.257415354251862,20.2175693511963,20.0631809234619
1001,819750,2281364,25,4,1000,0,8.4,0.223,1.12,NA,77,13.51,NA,NA,NA,NA,22.82,22.7,100,4.54,3.6,1.08,32.5,40.3,27.3,56.4586296081543,4.38665056228638,2.60016417503357,2.09637308120728,-16.6967105865479,-7.58664417266846,-14.0324354171753,0.000165038596605882,0.000170321989571676,5.28340251548798e-06,189.924850463867,1,1,1,3,6,6,4,1.20671713352203,42.4264068603516,0.110490024089813,0.444754987955093,8.67142009735107,166.91584777832,10.8256521224976,0.0238049831241369,0.0336990356445312,0.0308818817138672,0.00886408518999815,-0.039534829556942,-0.0986187011003494,-0.275430232286453,-0.375461041927338,-0.515018701553345,-0.472845613956451,-0.673022747039795,-1.62684082984924,-1.68713307380676,-2.92435956001282,-4.79909658432007,-6.27853536605835,-6.39554452896118,-5.70658540725708,-3.92285919189453,-4.02417421340942,-5.25618648529053,0.257415354251862,20.2175693511963,20.0631809234619
1001,819750,2281364,40,4,1000,1,8.69,NA,0.99,NA,74,14.44,NA,NA,NA,NA,22.63,22.73,NA,NA,4,0.88,39.6,32.2,28.2,56.4586296081543,4.38665056228638,2.60016417503357,2.09637308120728,-16.6967105865479,-7.58664417266846,-14.0324354171753,0.000165038596605882,0.000170321989571676,5.28340251548798e-06,189.924850463867,1,1,1,3,6,6,4,1.20671713352203,42.4264068603516,0.110490024089813,0.444754987955093,8.67142009735107,166.91584777832,10.8256521224976,0.0238049831241369,0.0336990356445312,0.0308818817138672,0.00886408518999815,-0.039534829556942,-0.0986187011003494,-0.275430232286453,-0.375461041927338,-0.515018701553345,-0.472845613956451,-0.673022747039795,-1.62684082984924,-1.68713307380676,-2.92435956001282,-4.79909658432007,-6.27853536605835,-6.39554452896118,-5.70658540725708,-3.92285919189453,-4.02417421340942,-5.25618648529053,0.257415354251862,20.2175693511963,20.0631809234619
