"R2","concordance","mse","rmse","bias"
0.781245353901198,0.876430907220131,0.210233456356849,0.458512220509823,-0.0027147996665251
0.787299836965499,0.879898601344697,0.207712739697946,0.455755131290857,0.00125603408669761
0.776951296341393,0.872810680422106,0.220118317477973,0.469167685884241,0.0015806388974795
0.79979316227237,0.887313675489337,0.193901721901801,0.440342732314047,-0.00106130891708833
0.782910728271277,0.877605881555184,0.217462869294217,0.466329142660222,0.00195394463874532
0.768166032009928,0.867346427448658,0.229941363142197,0.479522015284175,-0.00480841188574566
0.797000356451506,0.887800309674175,0.19527176616851,0.441895650768946,-0.000571525833714226
0.774266773507648,0.871322259746701,0.224170926921529,0.473466922732232,-0.00272802699151331
0.772752837103163,0.870169081004495,0.22090917876216,0.470009764539163,0.00232778990088978
0.766342028188829,0.8652665031631,0.228341429047709,0.477850843933239,0.00694367404559149
0.771677235352749,0.870423970274396,0.219660409724294,0.468679431727374,0.0109742488094309
0.798172995432656,0.885012246588215,0.199898567296277,0.447100175907231,0.00906289572691765
0.78804527061007,0.88019862405082,0.210369171039729,0.458660191252445,-2.96919609432678e-05
0.78056949622512,0.87456294638946,0.218478659678502,0.467417008332497,-0.00237493201116834
0.75850549800496,0.860601735521082,0.231234545598761,0.480868532552049,0.00532855735951365
0.781008416313358,0.8749226289261,0.214497965328678,0.463139250472985,0.00564867556993676
0.770287167829562,0.868083046728326,0.224494510129706,0.473808516311923,-0.00667020831874865
0.76306877956213,0.861579499811178,0.229290661950369,0.478843045214576,8.19672591720888e-05
0.766659464597451,0.866395382799789,0.229762344057269,0.479335314844702,-0.0136221919946333
0.793906447911631,0.884983577788199,0.203985783566377,0.451647853494708,-0.00215255549205651
0.80546213536582,0.891720866768624,0.189002967396807,0.43474471520285,-0.00153195519543203
0.763457384193278,0.864361067991233,0.233434725518855,0.483150831023662,-0.00438863018649283
0.754532761848694,0.85697142342269,0.239112498359299,0.48899130703858,0.00482763588128954
0.770052400015015,0.868392845400079,0.2239508624854,0.473234468826394,0.0103700063695857
0.787085028643994,0.877759886403498,0.21117617964751,0.459539094797722,0.00158563409618395
